file,player_id,date,recorded_minutes,session_duration_minutes,total_distance_meters,high_speed_running_distance,sprint_distance,acceleration_count,deceleration_count,peak_speed_ms,mean_speed_ms,distance_per_min,sprint_fraction,sample_rate_hz,n_gps_samples,error,qc_flags,qc_pass
2020-06-01-TeamA-1846d424-c17c-6279-23c6-612f48268673.parquet,TeamA-1846d424-c17c-6279-23c6-612f48268673,2020-06-01,113.39,73.47,6351.8,334.8,71.4,55,76,6.58,1.441,86.5,0.0112,10.0,68031,,,1
2020-06-02-TeamA-1846d424-c17c-6279-23c6-612f48268673.parquet,TeamA-1846d424-c17c-6279-23c6-612f48268673,2020-06-02,128.87,76.13,6296.6,331.6,62.9,83,83,6.18,1.378,82.7,0.01,10.0,77320,,,1
2020-06-04-TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43.parquet,TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,2020-06-04,61.85,28.42,2136.6,0.9,0.0,8,13,4.89,1.253,75.2,0.0,10.0,37104,,,1
2020-06-03-TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93.parquet,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,2020-06-03,121.99,80.33,8208.3,1022.4,461.9,44,46,7.08,1.703,102.2,0.0563,10.0,73188,,,1
2020-06-05-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-05,108.74,67.8,5382.3,516.7,244.0,74,60,7.05,1.323,79.4,0.0453,10.0,65239,,,1
2020-06-06-TeamA-b58af410-da77-479e-b93c-e03617b9f36d.parquet,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,2020-06-06,136.24,90.11,7997.0,558.0,192.2,29,60,7.55,1.479,88.7,0.024,10.0,81741,,,1
2020-06-08-TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e.parquet,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,2020-06-08,122.05,77.78,5872.4,57.7,2.7,24,78,5.39,1.258,75.5,0.0005,10.0,73228,,,1
2020-06-09-TeamA-f728b4fa-4248-5e3a-0a5d-2f346baa9455.parquet,TeamA-f728b4fa-4248-5e3a-0a5d-2f346baa9455,2020-06-09,121.87,73.3,3489.1,8.0,0.0,33,48,5.04,0.793,47.6,0.0,10.0,73119,,,1
2020-06-10-TeamA-f728b4fa-4248-5e3a-0a5d-2f346baa9455.parquet,TeamA-f728b4fa-4248-5e3a-0a5d-2f346baa9455,2020-06-10,119.16,68.32,3856.0,17.7,0.0,21,23,4.98,0.941,56.4,0.0,10.0,71489,,,1
2020-06-12-TeamA-23a7711a-8133-2876-37eb-dcd9e87a1613.parquet,TeamA-23a7711a-8133-2876-37eb-dcd9e87a1613,2020-06-12,111.03,58.73,3961.0,502.5,234.4,35,38,6.97,1.124,67.4,0.0592,10.0,66611,,,1
2020-06-13-TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93.parquet,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,2020-06-13,146.37,97.53,9217.9,712.0,226.3,27,46,6.88,1.575,94.5,0.0245,10.0,87814,,,1
2020-06-15-TeamA-5487ce1e-af19-922a-d9b8-a714e61a441c.parquet,TeamA-5487ce1e-af19-922a-d9b8-a714e61a441c,2020-06-15,132.05,65.59,4823.5,101.2,18.0,40,59,5.79,1.226,73.5,0.0037,10.0,79225,,,1
2020-06-16-TeamA-5487ce1e-af19-922a-d9b8-a714e61a441c.parquet,TeamA-5487ce1e-af19-922a-d9b8-a714e61a441c,2020-06-16,136.87,85.8,7420.4,181.3,36.9,27,52,6.74,1.441,86.5,0.005,10.0,82118,,,1
2020-06-17-TeamA-5487ce1e-af19-922a-d9b8-a714e61a441c.parquet,TeamA-5487ce1e-af19-922a-d9b8-a714e61a441c,2020-06-17,150.8,75.41,6892.9,646.9,233.4,19,34,7.74,1.523,91.4,0.0339,10.0,90474,,,1
2020-06-19-TeamA-4051bba7-1170-4c43-b912-8c38815a7625.parquet,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-06-19,97.14,37.96,2152.6,21.2,0.5,12,41,5.33,0.945,56.7,0.0002,10.0,58275,,,1
2020-06-22-TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05.parquet,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,2020-06-22,106.88,49.93,2536.3,20.1,3.3,24,40,5.53,0.847,50.8,0.0013,10.0,64124,,,1
2020-06-20-TeamA-4051bba7-1170-4c43-b912-8c38815a7625.parquet,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-06-20,156.23,109.73,5642.6,31.7,3.3,26,34,5.55,0.857,51.4,0.0006,10.0,93734,,,1
2020-06-23-TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93.parquet,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,2020-06-23,132.39,79.23,6171.5,318.1,138.4,47,63,7.11,1.298,77.9,0.0224,10.0,79429,,,1
2020-06-26-TeamA-67961019-dbb5-464b-839e-08e5896c2c42.parquet,TeamA-67961019-dbb5-464b-839e-08e5896c2c42,2020-06-26,90.27,45.02,2710.5,202.7,91.5,15,17,6.87,1.004,60.2,0.0337,10.0,54159,,,1
2020-06-24-TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93.parquet,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,2020-06-24,135.89,85.06,7332.2,623.9,202.6,46,62,7.23,1.437,86.2,0.0276,10.0,81528,,,1
2020-06-27-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-27,158.54,121.61,12331.1,1275.9,514.2,79,97,7.4,1.69,101.4,0.0417,10.0,95115,,,1
2020-06-29-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-29,136.39,54.29,3900.4,254.6,120.5,45,51,7.66,1.197,71.8,0.0309,10.0,81826,,,1
2020-06-30-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-30,118.04,83.58,8478.5,1210.5,398.3,52,77,7.09,1.691,101.4,0.047,10.0,70813,,,1
2020-07-02-TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a.parquet,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,2020-07-02,83.63,36.65,1993.4,231.2,125.9,12,27,7.04,0.906,54.4,0.0632,10.0,50167,,,1
