tag,model,cv,folds,prevalence,pr_auc,pr_sd,roc_auc,roc_sd,bal_acc,f1,lift
A_lstm,lstm,grouped,5,0.1673,0.1806,0.0127,0.5143,0.0132,0.5155,0.241,1.079
A_rf,rf,skf,5,0.1667,0.2578,0.0192,0.6129,0.0165,0.5343,0.1654,1.546
A_rf,rf,grouped,5,0.1666,0.2373,0.0157,0.598,0.012,0.5284,0.151,1.424
A_rf,rf,lopo,36,0.1677,0.264,0.0696,0.5965,0.0594,0.5327,0.1501,1.574
A_xgb,xgb,skf,5,0.1667,0.2503,0.0166,0.6085,0.0143,0.5793,0.3079,1.501
A_xgb,xgb,grouped,5,0.1666,0.2358,0.0251,0.5883,0.0176,0.5636,0.2894,1.415
A_xgb,xgb,lopo,36,0.1677,0.2618,0.0678,0.5937,0.0592,0.5675,0.2903,1.561
B_off,rf,grouped,5,0.1882,0.2854,0.0272,0.6165,0.0384,0.5479,0.2237,1.516
B_off,rf,lopo,35,0.1911,0.3275,0.1259,0.6254,0.0988,0.5501,0.1995,1.714
B_off,xgb,grouped,5,0.1882,0.2651,0.0304,0.5914,0.0277,0.5756,0.3164,1.409
B_off,xgb,lopo,35,0.1911,0.3144,0.1032,0.6002,0.0872,0.5762,0.3054,1.645
B_on,rf,grouped,5,0.1882,0.3224,0.041,0.6441,0.0352,0.5775,0.293,1.713
B_on,rf,lopo,35,0.1911,0.3816,0.1326,0.6583,0.1028,0.5788,0.2503,1.997
B_on,xgb,grouped,5,0.1882,0.2961,0.0294,0.6136,0.0179,0.5882,0.3335,1.573
B_on,xgb,lopo,35,0.1911,0.3496,0.119,0.6337,0.1041,0.5991,0.3306,1.829
sens_B,xgb,grouped,5,0.1828,0.354,0.0818,0.6777,0.0153,0.631,0.3821,1.937
sens_label_C_hooper_1.5sd,xgb,grouped,5,0.0894,0.1577,0.022,0.6008,0.0224,0.5691,0.2009,1.764
sens_label_D_hooper_0.5sd,xgb,grouped,5,0.2934,0.3875,0.0246,0.6023,0.0184,0.5755,0.4221,1.321
