,missing_fraction,present
team_performance,0.993,0.007
offensive_performance,0.993,0.007
defensive_performance,0.993,0.007
7_day_hooper_trend,0.745,0.255
hooper_index,0.536,0.464
sleep_hours,0.535,0.465
fatigue_score,0.535,0.465
fatigue_raw,0.535,0.465
sleep_quality,0.535,0.465
sleep_quality_raw,0.535,0.465
readiness,0.535,0.465
stress_score,0.535,0.465
stress_raw,0.535,0.465
mood_raw,0.535,0.465
mood_score,0.535,0.465
muscle_soreness,0.535,0.465
soreness_raw,0.535,0.465
strain,0.422,0.578
monotony,0.422,0.578
ACWR,0.353,0.647
n_sessions,0.0,1.0
RPE,0.0,1.0
player_id,0.0,1.0
date,0.0,1.0
session_duration_minutes,0.0,1.0
session_load_au,0.0,1.0
strain_provided,0.0,1.0
monotony_provided,0.0,1.0
daily_load_provided,0.0,1.0
weekly_load_provided,0.0,1.0
ctl28_provided,0.0,1.0
ctl42_provided,0.0,1.0
acwr_provided,0.0,1.0
atl_provided,0.0,1.0
n_symptoms,0.0,1.0
is_match_day,0.0,1.0
injury_major,0.0,1.0
illness_flag,0.0,1.0
n_injuries,0.0,1.0
injury_flag,0.0,1.0
wellness_reported,0.0,1.0
is_rest_day,0.0,1.0
28_day_workload_average,0.0,1.0
7_day_workload_average,0.0,1.0
player_code,0.0,1.0
team,0.0,1.0
cumulative_fatigue_score,0.0,1.0
days_since_rest,0.0,1.0
day_number,0.0,1.0
week_number,0.0,1.0
