player_id,first_date,last_date,span_days,rows,wellness_days,wellness_compliance,load_sessions,load_days,longest_wellness_streak
TeamA-74afe68c-f348-414c-9754-6d6f9df12587,2020-01-01,2021-12-31,731,731,646,0.884,541,475,428
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,2020-01-01,2021-12-31,731,731,640,0.876,517,475,225
TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,2020-01-01,2021-12-31,731,731,633,0.866,645,557,103
TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,2020-01-01,2021-12-31,731,731,633,0.866,623,544,152
TeamA-b58af410-da77-479e-b93c-e03617b9f36d,2020-01-01,2021-12-31,731,731,617,0.844,503,476,68
TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,2020-01-01,2021-12-31,731,731,581,0.795,469,418,98
TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,2020-01-01,2021-12-31,731,731,565,0.773,525,488,106
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-01-01,2021-12-31,731,731,560,0.766,555,511,239
TeamB-789547e7-1325-4153-a98d-5ecd497f3668,2020-01-01,2021-12-31,731,731,547,0.748,424,387,45
TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,2020-01-01,2021-12-31,731,731,546,0.747,456,390,186
TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,2020-01-01,2021-12-31,731,731,526,0.72,574,501,56
TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,2020-01-01,2021-12-31,731,731,522,0.714,417,379,66
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2020-01-01,2021-12-31,731,731,489,0.669,549,450,89
TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,2020-01-01,2021-12-31,731,731,488,0.668,381,349,43
TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,2020-01-01,2021-12-31,731,731,480,0.657,401,363,61
