,mean_abs_shap
RPE,0.1736375
session_load_au,0.13226555
cumulative_fatigue_score,0.12391157
7_day_workload_average,0.107937194
7_day_hooper_trend,0.10578722
monotony_provided,0.10534872
days_since_rest,0.0934425
28_day_workload_average,0.08296146
ctl28_provided,0.08145385
acwr_provided,0.07409591
strain,0.073880464
monotony,0.0726153
hooper_index,0.071293205
ACWR,0.06843553
stress_score,0.059992906
muscle_soreness,0.05787465
readiness,0.05316611
atl_provided,0.05146721
session_duration_minutes,0.044592127
sleep_hours,0.04007626
sleep_quality,0.029174864
mood_score,0.012055688
fatigue_score,0.0052312785
n_sessions,0.003206132
