,mean_abs_shap
gps_active_minutes,0.2495455
cumulative_fatigue_score,0.16915181
RPE,0.16418079
deceleration_count,0.13535905
total_distance_meters,0.12684134
peak_speed_ms,0.10906482
7_day_hooper_trend,0.10783728
session_load_au,0.09995902
7_day_workload_average,0.09959625
sprint_distance,0.0981273
hooper_index,0.09553434
high_speed_running_distance,0.0928947
days_since_rest,0.08905274
acceleration_count,0.08885754
28_day_workload_average,0.08791619
strain,0.084744535
atl_provided,0.068960994
readiness,0.066990934
monotony_provided,0.059922703
ctl28_provided,0.059085574
sleep_quality,0.056926165
stress_score,0.05390474
monotony,0.049500637
acwr_provided,0.04701568
ACWR,0.046666626
sleep_hours,0.046447955
muscle_soreness,0.03476523
session_duration_minutes,0.020609815
mood_score,0.016939806
n_sessions,0.01353072
fatigue_score,0.008023864
n_gps_sessions,0.0
